RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;PLAN3;0;0;60895.176;1338.5996;81514258;49;0;N;1563.3171;0;27.9198;17.23;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;LP180;0;19742.2267;17957453.0104;1371.1159;24621749346;1195;1;N;675299.5699;0;8442.6303;5210.1498;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;PLAN1;0;0;39596.8574;1318.4644;52207047;14;0;N;1215.8088;0;17.8817;11.0353;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;LPI;0;0;2185906.8206;1097.7658;2399613750;12;0;N;36159.1016;0;821.8975;507.2127;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;LP3;0;0;2833885.6433;1393.0411;3947719174;316;0;N;90096.5783;0;1352.1532;834.4462;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;PLAN2;0;426.2976;66889.3279;1407.4674;94144548;34;0;N;1946.8458;0;32.4513;20.0265;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;I;0;0;8325967.7552;1059.9358;8824991293;3;1;N;96713.3102;0;3022.6567;1865.354;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;G;0;3574.4277;2667561.3054;27878.1514;74366677941;31608;1;N;2864921.6015;0;25506.2375;15740.5111;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;CASH;0;646.1824;289038.9971;30219.7873;8734697014;13285;1;N;271153.1683;0;2998.4782;1850.4329;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;C;0;0;11693833.5194;1393.1882;16291710872;181;1;N;379404.8542;0;5580.1591;3443.6501;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;B;0;2535.2239;2885656.3012;1355.3126;3910966344;658;0;N;117971.8441;0;1340.7515;827.4099;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;100;0;0;267146.7881;33361.373;8912383644;44;0;N;145286.2552;0;3052.6057;1883.8362;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210228;153017063526;$$;S;1;PLAN4;0;0;452635.4216;1355.6892;613632953;285;0;N;10927.9046;0;210.1775;129.7056;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210228;177260424134;$$;S;0;L;0;147514.8771;13225237.6865;1724.6344;22808700238;1489;0;N;1200608;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210228;177260424134;$$;S;0;M;0;250.1519;887972.1363;44851.9093;39827245752;3062;0;N;1818463;0;0;0;0;19780;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210228;177260424134;$$;S;0;V;0;0;8061867.2553;1387.4416;11185369753;2;2;N;232906;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210228;177260424134;$$;S;0;BCH;0;0;68776850.0199;1273.7056;87601456140;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210228;177260424134;$$;S;0;B;0;0;96540.3255;48857.113;4716681595;358;0;N;129228;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210228;177260424134;$$;S;0;BPLUS;0;0;347495.8264;2412.8445;838453380;2;0;N;13783;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210228;177260424134;$$;S;0;IT;0;0;1977716.188;5059.6539;10006559443;2;2;S;48936;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210228;1138607230064;$$;S;0;A;0;1016507.6859;9519133.1736;21403.2686;203740564364;13525;2;N;1451840;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210228;1138607230064;$$;S;0;B;0;0;3409421.3601;1783.8664;6081952309;951;0;N;33326;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210228;1138607230064;$$;S;0;BPLUS;0;0;542127.8571;2020.1888;1095200637;4;0;N;6001;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210228;1138607230064;$$;S;0;P;0;147893708.6809;326390467.0238;1041.7928;340031216128;440;7;N;2044117;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210228;1138607230064;$$;S;0;IT;0;9250818.244;5271694.409;22274.4425;117424054179;3;2;S;381088;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210228;1138607230064;$$;S;0;BCH;0;0;13170191.2323;1013.0062;13341485644;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210228;135018956873;$$;S;0;L;0;11548.2582;1002552.4769;18960.7731;19009170077;1347;0;N;1000969;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210228;135018956873;$$;S;0;BPLUS;0;0;165951.9893;2337.4043;387896900;3;0;N;6376;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210228;135018956873;$$;S;0;BCH;0;0;75995944.488;1232.4571;93661742560;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210228;135018956873;$$;S;0;B;0;0;575393.3221;2593.8527;1492485529;146;0;N;40891;0;0;0;0;0;;
