RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;PLAN3;0;0;60019.6677;1333.5517;80039330;47;0;N;1535.0302;0;28.9497;16.8047;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;LP180;459179.7937;0;18138375.0714;1365.2605;24763607019;1158;1;N;678444.3981;0;8956.9263;5199.3114;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;PLAN1;0;0;40759.1739;1313.1635;53523459;14;0;N;1246.4657;0;19.3592;11.2376;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;LPI;918874.004;0;5153556.4663;1093.9;5637475418;15;0;N;84949.5283;0;2039.0338;1183.6172;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;LP3;0;0;1872685.7423;1387.4797;2598313452;309;0;N;59299.8485;0;939.7983;545.5336;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;PLAN2;0;0;62756.1456;1402.0429;87986808;32;0;N;1807.9853;0;31.8243;18.4734;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;I;0;0;1378234.182;1056.4685;1456060999;2;0;N;15957.0105;0;526.6445;305.7063;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;G;3153.5436;0;2438402.7088;27740.3562;67642159701;31099;1;N;2602377.3952;0;24466.248;14202.1534;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;CASH;5481.05;0;306326.8489;30084.1758;9215590775;13216;1;N;283354.6442;0;3333.2649;1934.8917;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;C;89297.3135;0;11862128.0131;1387.5867;16459731065;177;1;N;383317.7396;0;5953.4136;3455.834;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;B;30481.2009;0;2996121.8248;1349.2995;4042665680;658;0;N;121837.4326;0;1462.2247;848.7914;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;100;15231.3823;0;261945.9692;33241.4;8707450741;48;0;N;135254.2357;0;3149.4253;1828.1766;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210430;141523345077;$$;S;1;PLAN4;12674.4047;0;572910.4096;1350.6898;773824247;290;0;N;13780.677;0;279.8873;162.4688;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210430;162670037362;$$;S;0;L;575.7032;0;11397081.0383;1615.4165;18411033275;1353;0;N;958384;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210430;162670037362;$$;S;0;M;3037.4946;0;857891.0651;42027.9638;36055414629;2946;0;N;1639955;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210430;162670037362;$$;S;0;V;0;0;8204576.6776;1302.0563;10682820622;2;2;N;222441;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210430;162670037362;$$;S;0;BCH;83553.427;0;71553341.9234;1196.839;85637829455;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210430;162670037362;$$;S;0;B;248.1074;0;94951.0547;45831.9798;4351794819;351;0;N;118919;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210430;162670037362;$$;S;0;BPLUS;0;0;347495.8264;2264.9598;787064075;2;0;N;12938;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210430;162670037362;$$;S;0;IT;0;0;992163.0037;4752.8911;4715642731;1;1;N;23062;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210430;1285016777860;$$;S;0;A;1072865.4211;0;10816735.0962;21405.6486;231539230698;13769;2;N;1427305;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210430;1285016777860;$$;S;0;B;962.3248;0;3546904.9495;1784.2013;6328392480;958;0;N;34676;0;0;0;0;0;;
